Time	SW	Snore	Flow	SpO2_Events	HR	Position	Activity	SpO2	Thorax	Abdomen	Pleth	Pulse
00:14:30	Wake	490	-1.4	1	92	Left	39	92	2.09	1.4	0.84	63
00:15:00	Sleep	470	-0.6	2	80	Upright	87	94	1.57	0.76	0.92	87
00:15:30	Sleep	43	-1.71	0	84	Right	55	91	1.43	1.04	0.97	90
00:16:00	Wake	208	-1.63	0	90	Upright	134	93	1.97	1.2	1.1	76
00:16:30	Sleep	309	0.49	0	95	Right	32	93	2.11	2.08	1.15	64
00:17:00	Wake	465	1.24	0	89	Left	58	91	1.9	2.27	0.85	55
00:17:30	Wake	297	-1.52	1	78	Upright	95	90	2.09	0.82	0.82	73
00:18:00	Wake	86	-1.06	0	79	Right	169	90	1.35	1.12	1.04	78
00:18:30	Sleep	8	-0.54	2	97	Right	165	95	0.75	1.49	1.04	77
00:19:00	Wake	403	1.9	2	70	Upright	151	92	1.48	0.98	0.93	76
00:19:30	Wake	262	1.87	1	68	Supine	155	98	2.23	1.33	0.93	88
00:20:00	Wake	370	-1.82	3	66	Right	123	97	2.35	1.63	1.19	74
00:20:30	Sleep	453	-0.98	0	98	Supine	194	98	1.94	1.09	0.81	92
00:21:00	Wake	469	-1.45	3	86	Upright	3	97	0.83	0.76	0.9	63
00:21:30	Wake	0	-0.34	2	85	Supine	46	99	1.41	2.32	0.82	99
00:22:00	Wake	362	1.87	0	56	Upright	62	91	2.05	1.5	1.12	75
00:22:30	Wake	499	0.78	3	90	Right	33	100	0.58	1.42	1.07	61
00:23:00	Sleep	436	1.73	1	95	Right	6	99	1.65	1.08	1.2	61
00:23:30	Sleep	317	-1.86	1	87	Supine	176	93	1.19	1.03	1.14	82
00:24:00	Sleep	153	0.15	3	93	Supine	33	99	1.31	0.51	0.86	82
00:24:30	Sleep	171	0.25	2	86	Supine	86	95	1.75	1.6	0.92	57
00:25:00	Sleep	563	1.7	3	100	Right	58	96	2.2	2.02	0.88	57
00:25:30	Sleep	483	1.56	1	70	Upright	112	90	0.89	0.91	1.06	75
00:26:00	Wake	193	-1.31	3	99	Left	74	94	1.12	0.55	0.94	61
00:26:30	Sleep	549	1.09	3	74	Supine	160	99	2.35	2.31	1.15	56
00:27:00	Wake	588	-1.64	0	57	Upright	68	95	1.73	0.99	1.08	63
00:27:30	Wake	25	0.67	0	71	Right	164	95	1.74	0.89	1.03	59
00:28:00	Sleep	219	-0.48	0	66	Supine	127	90	2.33	0.84	1.05	75
00:28:30	Wake	251	-1.98	3	77	Upright	85	93	2.02	1.77	1.18	75
00:29:00	Wake	565	0.68	3	81	Left	139	99	1.3	2.06	0.83	81
00:29:30	Sleep	538	-1.52	2	63	Left	164	91	1.35	1.15	0.83	78
00:30:00	Sleep	469	2.0	2	67	Upright	138	90	0.71	0.81	0.84	63
00:30:30	Sleep	499	-1.6	1	64	Right	131	98	2.22	1.28	1.11	80
00:31:00	Wake	365	-0.14	0	66	Upright	143	95	0.57	2.35	1.01	72
00:31:30	Wake	508	1.49	1	72	Supine	122	100	1.33	1.4	1.17	92
00:32:00	Wake	388	1.14	3	70	Upright	130	100	1.32	1.61	0.96	78
00:32:30	Sleep	137	1.24	1	92	Left	170	96	1.89	0.82	0.91	92
00:33:00	Wake	347	1.82	3	96	Supine	13	96	2.46	1.6	0.97	73
00:33:30	Wake	105	0.1	2	89	Supine	117	99	2.16	0.83	0.84	84
00:34:00	Sleep	444	0.46	3	60	Right	29	100	1.14	2.3	0.92	61
00:34:30	Sleep	125	-1.19	3	93	Left	64	98	1.33	0.66	0.94	55
00:35:00	Sleep	375	-1.12	0	92	Upright	23	92	0.94	1.36	1.16	66
00:35:30	Sleep	344	1.54	3	86	Left	47	95	1.68	2.34	1.18	72
00:36:00	Wake	66	1.82	1	84	Upright	64	92	2.02	1.32	1.06	85
00:36:30	Sleep	368	-0.67	2	63	Left	95	91	1.79	1.43	1.14	86
00:37:00	Sleep	227	-0.68	0	93	Left	78	100	0.61	1.66	0.89	94
00:37:30	Wake	6	-1.42	1	68	Upright	175	100	0.92	0.79	1.17	61
00:38:00	Sleep	110	1.0	1	98	Supine	105	100	1.05	1.74	1.15	61
00:38:30	Sleep	401	-0.92	3	55	Supine	84	91	1.14	1.61	1.16	74
00:39:00	Wake	295	-1.57	1	57	Supine	177	100	0.63	1.26	1.14	56
00:39:30	Wake	369	-0.47	0	59	Right	113	94	2.3	1.48	1.15	95
00:40:00	Wake	197	1.81	1	91	Upright	163	95	1.71	2.26	1.17	73
00:40:30	Wake	344	-1.26	1	74	Left	189	98	1.66	0.7	0.88	58
00:41:00	Sleep	387	0.3	3	93	Supine	37	94	2.21	2.45	0.94	61
00:41:30	Wake	513	-1.73	3	92	Upright	134	92	1.02	2.17	0.95	74
00:42:00	Wake	304	0.38	0	89	Supine	21	96	1.28	1.87	0.89	90
00:42:30	Sleep	166	-1.19	1	77	Left	60	90	1.73	1.32	0.92	92
00:43:00	Wake	394	-1.49	2	95	Left	126	93	1.67	1.09	0.89	92
00:43:30	Wake	96	0.17	3	81	Left	102	99	1.76	2.33	1.18	96
00:44:00	Sleep	271	1.98	1	60	Supine	13	100	2.14	0.96	0.88	86
00:44:30	Sleep	480	1.4	3	65	Upright	179	98	0.71	1.03	1.12	70
00:45:00	Wake	451	1.9	1	62	Supine	84	95	1.58	0.82	1.2	86
00:45:30	Wake	378	-1.62	3	91	Right	45	91	0.72	2.02	1.08	89
00:46:00	Sleep	496	-1.25	0	70	Left	101	100	0.63	0.56	1.2	66
00:46:30	Sleep	378	0.03	0	74	Right	146	90	0.59	2.26	1.14	73
00:47:00	Wake	415	-0.65	2	86	Right	62	99	1.77	1.94	1.0	73
00:47:30	Wake	153	2.0	2	91	Right	40	93	1.67	0.59	1.09	73
00:48:00	Sleep	332	-1.59	1	98	Upright	117	99	0.92	1.9	0.95	76
00:48:30	Wake	314	1.7	1	97	Upright	178	90	2.24	1.15	0.96	61
00:49:00	Sleep	13	0.13	2	72	Right	182	91	0.68	1.68	1.04	64
00:49:30	Sleep	262	-0.73	2	55	Left	190	100	2.09	1.22	1.07	83
00:50:00	Wake	333	1.38	2	97	Right	33	91	2.18	0.66	1.15	57
00:50:30	Wake	289	0.27	1	80	Supine	15	90	1.83	0.88	1.2	59
00:51:00	Wake	292	-1.49	1	100	Right	172	96	0.59	2.19	1.14	56
00:51:30	Sleep	281	0.93	1	99	Upright	157	93	1.72	1.43	1.04	84
00:52:00	Sleep	68	1.52	3	100	Upright	134	90	0.77	0.8	0.87	100
00:52:30	Sleep	345	1.71	2	78	Supine	44	96	1.75	1.27	1.13	67
00:53:00	Wake	94	1.52	2	74	Supine	167	90	1.58	0.97	1.1	90
00:53:30	Sleep	411	0.35	3	62	Left	195	100	0.98	1.1	1.1	80
00:54:00	Sleep	228	-1.76	0	60	Left	5	97	0.69	1.01	0.95	57
00:54:30	Sleep	301	-0.45	0	75	Left	180	95	1.92	0.71	0.96	90
00:55:00	Wake	284	-0.46	3	58	Supine	18	90	2.07	0.73	0.96	99
00:55:30	Wake	30	-0.9	0	94	Supine	99	95	0.67	0.97	0.85	77
00:56:00	Wake	191	-0.06	0	60	Supine	29	98	1.81	1.98	1.02	99
00:56:30	Wake	485	0.31	2	67	Left	99	90	2.34	1.25	1.12	96
00:57:00	Sleep	327	1.27	1	83	Upright	178	100	0.71	0.9	1.09	100
00:57:30	Wake	546	0.37	3	99	Right	52	92	1.46	1.77	0.92	65
00:58:00	Sleep	95	-1.98	2	80	Left	68	99	2.28	1.62	1.02	78
00:58:30	Wake	285	-1.35	0	86	Upright	88	97	1.75	1.87	1.16	61
00:59:00	Wake	299	1.53	1	80	Left	84	94	0.85	1.73	0.83	60
00:59:30	Wake	53	-1.48	1	81	Right	198	92	1.5	0.69	0.8	65
01:00:00	Wake	523	-1.21	1	69	Right	91	92	1.84	1.71	1.14	94
01:00:30	Sleep	504	-1.64	0	68	Supine	191	97	0.8	1.17	1.15	57
01:01:00	Wake	440	-0.43	0	71	Supine	10	92	2.48	0.82	0.83	95
01:01:30	Sleep	303	-0.87	1	97	Left	160	93	2.4	0.51	0.83	78
01:02:00	Sleep	513	-0.78	1	69	Upright	196	97	2.5	0.51	0.83	64
01:02:30	Sleep	430	1.71	3	74	Supine	121	95	0.62	1.34	1.09	94
01:03:00	Sleep	585	1.61	1	93	Right	5	100	2.28	2.44	1.17	68
01:03:30	Sleep	419	1.39	2	55	Right	27	94	2.31	1.74	1.15	56
01:04:00	Sleep	59	-0.06	1	67	Left	185	96	1.15	2.21	0.95	64
01:04:30	Wake	229	-1.72	3	91	Supine	178	91	2.4	1.38	0.85	91
01:05:00	Wake	401	0.5	1	70	Supine	54	94	1.98	1.47	0.99	56
01:05:30	Sleep	331	1.1	2	88	Left	198	94	0.94	0.56	1.1	76
01:06:00	Wake	211	-0.69	1	68	Upright	61	98	1.67	0.65	1.19	86
01:06:30	Wake	298	-1.37	3	56	Right	62	100	1.79	0.56	0.95	62
01:07:00	Wake	168	0.9	0	80	Upright	43	91	0.83	1.53	0.99	69
01:07:30	Sleep	200	-1.88	2	77	Right	197	98	1.98	1.67	0.85	59
01:08:00	Wake	207	1.57	0	55	Right	183	96	2.37	1.69	0.94	91
01:08:30	Wake	294	-0.1	2	89	Supine	182	100	1.72	1.32	0.85	63
01:09:00	Wake	417	0.23	2	75	Upright	14	90	1.45	1.68	1.1	64
01:09:30	Sleep	594	0.46	3	64	Upright	78	99	1.0	2.43	0.95	87
01:10:00	Wake	85	-1.88	0	83	Upright	140	91	2.13	2.27	1.12	60
01:10:30	Wake	306	1.18	2	99	Supine	131	98	1.25	0.81	1.14	67
01:11:00	Wake	210	0.61	0	68	Supine	195	99	1.48	2.46	0.95	85
01:11:30	Sleep	507	-0.61	2	75	Right	133	92	0.77	2.26	1.03	73
01:12:00	Sleep	285	1.05	3	94	Right	179	92	1.52	0.75	0.87	84
01:12:30	Wake	74	0.59	3	86	Right	185	97	1.3	1.16	0.81	58
01:13:00	Wake	139	-1.19	1	56	Upright	174	95	1.33	0.9	1.03	64
01:13:30	Wake	399	1.78	2	89	Supine	173	94	2.21	0.5	1.18	94
01:14:00	Wake	542	1.36	1	98	Right	102	95	0.63	2.44	0.93	82
01:14:30	Wake	54	-0.17	2	73	Right	191	94	1.57	0.77	1.03	59
01:15:00	Wake	543	-1.81	1	83	Right	148	97	1.86	0.6	0.96	79
01:15:30	Sleep	43	-1.47	0	63	Right	6	97	1.01	2.44	0.95	59
01:16:00	Wake	567	1.79	3	63	Right	108	90	1.4	2.14	1.05	100
01:16:30	Sleep	294	0.83	3	95	Left	140	92	1.65	1.26	0.94	97
01:17:00	Wake	17	-0.3	0	58	Upright	15	96	0.55	2.36	1.06	55
01:17:30	Sleep	5	-0.16	2	68	Upright	30	99	1.19	0.65	1.13	80
01:18:00	Sleep	63	-1.42	0	68	Supine	108	93	1.46	1.71	0.8	68
01:18:30	Wake	192	0.17	2	88	Left	92	94	1.22	2.21	1.11	75
01:19:00	Wake	412	-1.11	1	82	Upright	135	100	1.42	0.93	1.0	94
01:19:30	Wake	2	-1.06	0	87	Upright	105	97	2.3	2.29	0.98	98
01:20:00	Wake	579	-1.78	2	75	Upright	152	93	1.96	0.78	0.89	59
01:20:30	Sleep	153	1.36	0	97	Right	194	90	0.57	2.45	0.95	79
01:21:00	Sleep	458	0.3	1	91	Left	113	94	0.7	0.75	0.88	74
01:21:30	Sleep	320	-0.59	3	80	Left	12	90	1.67	0.58	0.95	88
01:22:00	Wake	346	-0.23	3	75	Supine	25	99	0.83	1.25	1.02	66
01:22:30	Wake	257	-0.95	3	69	Right	65	96	2.07	1.57	1.12	89
01:23:00	Wake	204	-0.31	0	59	Left	81	90	0.72	2.22	0.86	99
01:23:30	Sleep	310	1.96	3	55	Supine	130	91	1.98	1.5	1.1	75
01:24:00	Sleep	8	0.36	0	70	Upright	20	95	2.48	1.54	0.96	76
01:24:30	Sleep	122	-1.89	2	100	Right	62	97	1.95	0.85	0.86	79
01:25:00	Sleep	308	0.85	1	98	Upright	150	92	1.65	1.26	0.81	73
01:25:30	Sleep	382	1.65	1	83	Right	24	100	1.16	2.13	1.05	70
01:26:00	Sleep	193	-1.06	1	93	Left	137	93	1.71	2.17	0.93	74
01:26:30	Wake	428	-0.3	2	69	Upright	55	97	1.95	0.62	0.81	57
01:27:00	Wake	365	1.77	3	82	Right	148	91	0.63	1.24	0.88	64
01:27:30	Sleep	417	-0.19	3	56	Left	46	96	1.17	0.87	1.15	68
01:28:00	Sleep	10	1.47	1	93	Upright	197	96	1.33	1.66	1.16	90
01:28:30	Sleep	51	0.37	3	86	Left	44	94	1.84	1.97	1.15	100
01:29:00	Wake	543	-0.23	0	83	Supine	101	90	1.86	1.43	0.83	100
01:29:30	Sleep	379	-1.78	3	81	Supine	175	92	0.74	1.03	1.14	82
01:30:00	Sleep	95	-0.57	3	89	Supine	31	99	1.39	1.68	1.09	56
01:30:30	Sleep	202	0.63	3	70	Supine	12	97	1.65	1.44	1.04	92
01:31:00	Sleep	36	1.79	0	100	Left	141	90	0.97	2.13	1.1	75
01:31:30	Sleep	142	-1.96	3	69	Supine	146	96	1.12	1.09	1.01	88
01:32:00	Wake	271	-0.8	1	75	Left	120	99	1.72	1.94	0.85	75
01:32:30	Wake	233	-0.82	1	80	Left	47	95	1.13	1.17	1.06	56
01:33:00	Sleep	167	-1.85	1	71	Upright	30	99	0.93	2.22	0.88	67
01:33:30	Wake	192	-1.49	2	92	Right	23	90	0.68	1.84	0.9	71
01:34:00	Wake	29	1.31	0	90	Left	107	99	0.93	0.6	0.97	100
01:34:30	Sleep	15	-1.32	0	80	Supine	181	98	1.19	1.3	0.89	57
01:35:00	Sleep	339	0.29	3	55	Upright	21	93	2.09	1.55	1.17	78
01:35:30	Sleep	211	0.79	0	78	Left	0	97	2.02	1.04	1.06	98
01:36:00	Wake	525	0.73	0	81	Supine	128	92	0.89	1.29	1.04	62
01:36:30	Sleep	229	1.71	2	59	Upright	36	91	1.63	1.49	1.1	81
01:37:00	Sleep	550	1.25	0	75	Left	186	90	0.65	0.52	0.94	61
01:37:30	Sleep	114	-1.92	1	66	Upright	112	96	1.2	1.3	1.18	97
01:38:00	Wake	270	-1.27	1	67	Left	20	98	2.48	2.2	1.08	90
01:38:30	Sleep	496	0.89	3	78	Upright	185	94	0.79	2.01	0.83	88
01:39:00	Sleep	437	-0.77	3	70	Upright	33	97	1.71	0.85	1.19	82
01:39:30	Wake	151	-1.98	1	76	Left	176	99	1.67	1.18	0.86	89
01:40:00	Sleep	127	-0.08	0	64	Upright	196	90	0.81	1.0	1.12	97
01:40:30	Sleep	496	1.91	2	90	Right	110	100	1.97	2.02	1.01	73
01:41:00	Wake	44	-0.6	2	95	Left	3	98	1.63	1.42	0.94	97
01:41:30	Wake	196	1.92	3	84	Right	62	97	0.58	0.8	1.15	75
01:42:00	Sleep	571	-1.54	2	90	Right	114	95	0.96	1.74	1.08	64
01:42:30	Sleep	519	0.84	2	81	Upright	129	93	1.38	2.41	0.87	57
